cell_id,vulnerability_score,risk_level,elevation,slope,flow_accumulation,imperviousness,norm_elevation,norm_slope,norm_flow_accumulation,norm_imperviousness,contrib_elevation,contrib_flow_accumulation,contrib_imperviousness,contrib_slope,is_synthetic
CELL_VEL_01,0.9208,high,6.5,0.2,85000.0,0.88,0.9389,0.9865,0.8722,0.9048,0.3286,0.218,0.2262,0.148,True
CELL_VEL_02,0.9243,high,5.8,0.1,120000.0,0.82,0.9548,1.0,0.927,0.8333,0.3342,0.2318,0.2083,0.15,True
CELL_MAD_01,0.9187,high,6.2,0.2,95000.0,0.85,0.9457,0.9865,0.8899,0.869,0.331,0.2225,0.2172,0.148,True
CELL_MAD_02,0.8844,high,7.0,0.3,72000.0,0.8,0.9276,0.973,0.8458,0.8095,0.3247,0.2114,0.2024,0.1459,True
CELL_MUD_01,0.8656,high,11.5,0.3,160000.0,0.75,0.8258,0.973,0.9727,0.75,0.289,0.2432,0.1875,0.1459,True
CELL_MUD_02,0.8652,high,10.8,0.2,190000.0,0.7,0.8416,0.9865,1.0,0.6905,0.2946,0.25,0.1726,0.148,True
CELL_TNG_01,0.8888,high,10.2,0.3,62000.0,0.92,0.8552,0.973,0.8221,0.9524,0.2993,0.2055,0.2381,0.1459,True
CELL_TNG_02,0.9139,high,9.8,0.2,88000.0,0.94,0.8643,0.9865,0.8777,0.9762,0.3025,0.2194,0.244,0.148,True
CELL_PUL_01,0.9449,high,5.5,0.2,110000.0,0.9,0.9615,0.9865,0.9132,0.9286,0.3365,0.2283,0.2321,0.148,True
CELL_PUL_02,0.9604,high,5.2,0.1,135000.0,0.91,0.9683,1.0,0.9457,0.9405,0.3389,0.2364,0.2351,0.15,True
CELL_VYA_01,0.9879,high,3.8,0.1,140000.0,0.96,1.0,1.0,0.9515,1.0,0.35,0.2379,0.25,0.15,True
CELL_VYA_02,0.966,high,4.2,0.2,115000.0,0.93,0.991,0.9865,0.9202,0.9643,0.3468,0.2301,0.2411,0.148,True
CELL_PER_01,0.9239,high,5.8,0.3,78000.0,0.89,0.9548,0.973,0.8585,0.9167,0.3342,0.2146,0.2292,0.1459,True
CELL_PER_02,0.8942,high,6.5,0.4,65000.0,0.84,0.9389,0.9595,0.8296,0.8571,0.3286,0.2074,0.2143,0.1439,True
CELL_KOY_01,0.9064,high,10.5,0.3,82000.0,0.95,0.8484,0.973,0.8665,0.9881,0.2969,0.2166,0.247,0.1459,True
